Initial max|⟨B·n⟩ᵢ|: 0.11594103759828579
J=3.6e-01, Jf=6.4e-02, ⟨B·n⟩=2.5e-02, Len=sum([14.7, 15.4, 14.6, 14.8, 15.4, 14.6])=89.5, ϰ=[10.3, 40.0, 5.8, 5.9, 13.2, 5.3], ∫ϰ²/L=[1.1, 3.5, 0.7, 1.3, 1.9, 0.8], C-C-Sep=0.47, C-S-Sep=0.11, ║∇J║=1.4e+01
J=3.0e-01, Jf=7.5e-02, ⟨B·n⟩=2.7e-02, Len=sum([14.7, 15.3, 14.6, 14.7, 15.3, 14.6])=89.2, ϰ=[10.2, 26.6, 5.8, 6.4, 14.6, 6.0], ∫ϰ²/L=[1.0, 2.2, 0.7, 1.2, 1.8, 0.7], C-C-Sep=0.49, C-S-Sep=0.10, ║∇J║=1.0e+00
J=2.9e-01, Jf=7.2e-02, ⟨B·n⟩=2.6e-02, Len=sum([14.7, 15.3, 14.6, 14.8, 15.3, 14.6])=89.3, ϰ=[10.0, 29.8, 5.6, 6.0, 14.4, 5.4], ∫ϰ²/L=[1.0, 2.5, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.49, C-S-Sep=0.10, ║∇J║=1.4e+00
J=3.8e-01, Jf=6.1e-02, ⟨B·n⟩=2.4e-02, Len=sum([14.7, 15.4, 14.6, 14.8, 15.5, 14.6])=89.7, ϰ=[9.4, 45.9, 5.1, 6.3, 11.9, 4.7], ∫ϰ²/L=[1.0, 4.2, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.48, C-S-Sep=0.10, ║∇J║=2.7e+01
J=2.9e-01, Jf=7.0e-02, ⟨B·n⟩=2.6e-02, Len=sum([14.7, 15.4, 14.6, 14.8, 15.4, 14.6])=89.3, ϰ=[9.9, 32.0, 5.5, 5.8, 14.2, 5.3], ∫ϰ²/L=[1.0, 2.7, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.49, C-S-Sep=0.10, ║∇J║=2.5e+00
J=2.9e-01, Jf=6.5e-02, ⟨B·n⟩=2.5e-02, Len=sum([14.7, 15.4, 14.6, 14.8, 15.4, 14.6])=89.5, ϰ=[9.7, 38.2, 5.4, 6.0, 13.5, 5.0], ∫ϰ²/L=[1.0, 3.3, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.49, C-S-Sep=0.09, ║∇J║=7.9e+00
J=2.9e-01, Jf=6.8e-02, ⟨B·n⟩=2.6e-02, Len=sum([14.7, 15.4, 14.6, 14.8, 15.4, 14.6])=89.4, ϰ=[9.8, 34.3, 5.5, 5.8, 14.0, 5.2], ∫ϰ²/L=[1.0, 2.9, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.50, C-S-Sep=0.10, ║∇J║=2.9e+00
J=3.0e-01, Jf=6.2e-02, ⟨B·n⟩=2.5e-02, Len=sum([14.7, 15.4, 14.6, 14.8, 15.5, 14.6])=89.6, ϰ=[9.6, 43.1, 5.3, 6.1, 12.7, 4.8], ∫ϰ²/L=[1.0, 3.8, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.48, C-S-Sep=0.09, ║∇J║=1.0e+01
J=2.8e-01, Jf=6.6e-02, ⟨B·n⟩=2.6e-02, Len=sum([14.7, 15.4, 14.6, 14.8, 15.4, 14.6])=89.4, ϰ=[9.8, 36.4, 5.4, 5.9, 13.7, 5.1], ∫ϰ²/L=[1.0, 3.1, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.50, C-S-Sep=0.10, ║∇J║=2.5e+00
J=2.8e-01, Jf=6.7e-02, ⟨B·n⟩=2.6e-02, Len=sum([14.7, 15.4, 14.6, 14.8, 15.4, 14.5])=89.4, ϰ=[9.4, 34.3, 5.3, 5.8, 13.8, 5.0], ∫ϰ²/L=[1.0, 2.9, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.50, C-S-Sep=0.10, ║∇J║=2.5e-01
