Initial max|⟨B·n⟩ᵢ|: 0.05797042474689112
J=1.4e+00, Jf=4.3e-04, ⟨B·n⟩=2.1e-03, Len=sum([16.5, 15.8, 15.7])=47.9, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.42, C-S-Sep=1.06, ║∇J║=7.8e+01
J=5.7e-04, Jf=5.3e-04, ⟨B·n⟩=2.3e-03, Len=sum([16.3, 15.8, 15.7])=47.7, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.52, C-S-Sep=1.04, ║∇J║=1.0e-03
J=4.8e-01, Jf=4.6e-04, ⟨B·n⟩=2.1e-03, Len=sum([16.4, 15.8, 15.7])=47.8, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.45, C-S-Sep=1.05, ║∇J║=4.7e+01
J=5.7e-04, Jf=5.3e-04, ⟨B·n⟩=2.3e-03, Len=sum([16.3, 15.8, 15.7])=47.7, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.52, C-S-Sep=1.04, ║∇J║=1.0e-03
J=1.5e-01, Jf=4.8e-04, ⟨B·n⟩=2.2e-03, Len=sum([16.4, 15.8, 15.7])=47.8, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.47, C-S-Sep=1.04, ║∇J║=2.6e+01
J=5.7e-04, Jf=5.2e-04, ⟨B·n⟩=2.3e-03, Len=sum([16.3, 15.8, 15.7])=47.7, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.51, C-S-Sep=1.04, ║∇J║=1.0e-03
J=3.5e-02, Jf=5.0e-04, ⟨B·n⟩=2.2e-03, Len=sum([16.4, 15.8, 15.7])=47.8, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.49, C-S-Sep=1.04, ║∇J║=1.3e+01
J=5.7e-04, Jf=5.2e-04, ⟨B·n⟩=2.3e-03, Len=sum([16.3, 15.8, 15.7])=47.7, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.51, C-S-Sep=1.04, ║∇J║=1.0e-03
J=6.9e-03, Jf=5.0e-04, ⟨B·n⟩=2.2e-03, Len=sum([16.3, 15.8, 15.7])=47.8, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.49, C-S-Sep=1.04, ║∇J║=5.4e+00
J=5.6e-04, Jf=5.2e-04, ⟨B·n⟩=2.3e-03, Len=sum([16.3, 15.8, 15.7])=47.8, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.51, C-S-Sep=1.04, ║∇J║=1.0e-03
J=1.2e-03, Jf=5.1e-04, ⟨B·n⟩=2.2e-03, Len=sum([16.3, 15.8, 15.7])=47.8, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.04, ║∇J║=1.7e+00
J=6.3e-04, Jf=5.8e-04, ⟨B·n⟩=2.4e-03, Len=sum([16.2, 15.8, 15.7])=47.6, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.58, C-S-Sep=1.02, ║∇J║=1.1e-03
J=6.3e-04, Jf=5.8e-04, ⟨B·n⟩=2.4e-03, Len=sum([16.2, 15.8, 15.7])=47.6, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.57, C-S-Sep=1.03, ║∇J║=1.1e-03
J=6.1e-04, Jf=5.6e-04, ⟨B·n⟩=2.4e-03, Len=sum([16.3, 15.8, 15.7])=47.7, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.55, C-S-Sep=1.03, ║∇J║=1.1e-03
J=5.3e-02, Jf=4.9e-04, ⟨B·n⟩=2.2e-03, Len=sum([16.4, 15.8, 15.7])=47.8, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.48, C-S-Sep=1.05, ║∇J║=1.5e+01
J=5.9e-04, Jf=5.4e-04, ⟨B·n⟩=2.3e-03, Len=sum([16.3, 15.8, 15.7])=47.7, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.53, C-S-Sep=1.03, ║∇J║=1.0e-03
J=5.5e-04, Jf=5.1e-04, ⟨B·n⟩=2.3e-03, Len=sum([16.3, 15.8, 15.7])=47.8, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.04, ║∇J║=9.9e-04
J=1.6e+02, Jf=3.5e-04, ⟨B·n⟩=1.9e-03, Len=sum([18.2, 16.0, 15.6])=49.8, ϰ=[1.2, 0.5, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.23, C-S-Sep=1.06, ║∇J║=2.0e+03
J=5.5e-04, Jf=5.1e-04, ⟨B·n⟩=2.3e-03, Len=sum([16.3, 15.8, 15.7])=47.8, ϰ=[0.8, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.04, ║∇J║=9.9e-04
